id,category,name,description,horizon,shipp,icp,diff,viral,rev,breadth,cost,notes,total_unweighted
1,Hero headlines,"""Stop losing ideas between three apps""","Consolidation angle — pitches Acme Notes as the replacement for the Apple Notes + Notion + Google Docs pile most people run",NOW,4,5,3,4,3,5,4,"Hero candidate; could pair with comparison logos",28
2,Hero headlines,"""Fewer clicks, more thinking""","UX slogan angle — positions speed and low-friction as the core value. Works as subhead, short tweet, or ad headline",NOW,4,3,2,3,2,3,5,"Generic; used mostly as supporting line, not hero",22
3,Hero headlines,"""Your meeting notes write themselves""","Flagship AI-summarization angle. Works as homepage hero, 60-sec demo title, and YouTube thumbnail. Highest-gravity angle in the catalog",NOW,5,5,4,3,3,5,4,"Backed by AI summarization + auto-tag shipping",29
4,Hero headlines,"""Search that finds what you meant, not what you typed""","Semantic search angle — the ""magic"" moment framed as a promise. Reads as a tweet or landing line",NOW,4,4,4,3,3,4,3,"Relies on semantic search being tuned",25
5,Migration wedges,"""Import your Evernote in one click""","Direct migration angle — wedge against the incumbent. Cold-email subject line candidate; landing section under ""switching is easy""",NOW,4,5,4,3,4,3,4,"Importer ships; tested with 5K+ notes",27
6,Trust signals,"""The note app that doesn't lock you in""","Export-freedom angle. Trust signal for the landing page, blog-post intro, Hacker News framing",NOW,5,3,3,2,2,3,5,"Markdown export shipped",23
7,Comparison angles,"""Real-time collab without the Google Docs bloat""","Direct competitor framing. Works as features-grid headline, comparison-page header, X thread title",NOW,5,4,3,3,3,4,4,"CRDT collab shipped",26
8,Hero headlines,"""Your second brain, searchable and shareable""","Knowledge-management angle. Pitches the product to power users and PKM audience on X / Hacker News",NOW,4,4,3,3,3,4,4,"Leans on semantic search + backlinks",25
9,Transformation demos,"""Brain-dump → organized in 15 seconds""","Before/after transformation angle. Best-suited for demo video, animated GIF, tweet with video",NOW,4,4,3,4,3,3,3,"Needs a clean 15-sec capture; high-virality potential",24
10,Comparison angles,"""Notion, but for people who actually take notes""","Snarkier comparison angle. Works best as tweet or LinkedIn hook; probably too sharp for homepage hero",NOW,4,4,3,4,3,4,4,"Risk: combative; fits guerrilla marketing, not brand page",26
11,Trust signals,"""Works offline, syncs when you're back""","Reliability angle. Trust-signal line for landing, sales talking point, enterprise-pitch de-risking",NOW,5,5,4,2,3,4,3,"Offline-first is a core shipped feature",26
12,Hero headlines,"""Templates for every meeting type""","Low-friction onboarding angle. Features-grid line, blog SEO post candidate (""best meeting note templates"")",NOW,5,4,2,3,3,4,4,"Templates gallery shipped",25
13,Audience wedges,"""The note app your entire team actually uses""","Team-adoption angle. Sales-pitch line, LinkedIn post for managers",NOW,3,4,2,3,4,3,3,"Depends on collab rollout; team adoption still uneven",22
14,Integration stories,"""Save any Slack message as a note with one emoji""","Slack-reaction integration angle. Demo clip, tweet hook, Slack-App-Directory listing headline",NOW,4,3,4,4,3,4,4,"Integration shipped; live demo-ready",26
15,Integration stories,"""Calendar meetings auto-become notes""","Calendar-sync integration angle. Sales pitch for PMs and execs; LinkedIn post candidate",NOW,4,4,3,3,3,4,3,"Integration shipped",24
16,Hero headlines,"""Backlinks turn your notes into a personal wiki""","Backlinks/PKM angle. Blog SEO, X post for Obsidian/Roam audience",NOW,4,3,3,3,3,4,4,"Bidirectional linking shipped",24
17,Audience wedges,"""Comment on any paragraph, get your team's eyes""","Team-collab micro-angle. Sales-pitch line; features-grid bullet",NOW,4,4,2,2,3,3,4,"Inline comments shipped",22
18,Hero headlines,"""The note app that actually remembers""","Memory hook — pitches semantic search and auto-recall as the product's personality. Strong as hero and blog headline",NOW,4,3,4,3,3,4,4,"Strong AI-era candidate despite NOW horizon",25
19,Trust signals,"""Everything exports to markdown, nothing held hostage""","Portability angle. Trust signal for landing footer, Hacker News comment, enterprise pitch",NOW,5,3,2,2,2,3,5,"Markdown export shipped",22
20,Audience wedges,"""Widget on your home screen, notes one tap away""","Mobile quick-capture angle. App Store screenshot caption, Product Hunt tagline",NEXT,3,3,2,2,2,3,4,"Widget in development",19
21,Audience wedges,"""Write with a pen, search in plain text""","Handwriting → text angle. Apple Pencil / iPad audience. Blog-post SEO",NEXT,3,3,3,3,3,3,3,"Handwriting recognition in development",21
22,Enterprise pitch,"""Single sign-on and admin controls for your team""","Enterprise-readiness angle. Features-grid line for /enterprise page; procurement de-risking bullet",NEXT,3,3,2,1,4,2,3,"SSO in development; procurement gate",18
23,Enterprise pitch,"""Audit log every admin needs to sleep at night""","Compliance signal angle. Enterprise-page bullet; compliance landing section",NEXT,2,3,2,1,3,2,2,"Audit log planned, not built",15
24,What-if / Coming Soon,"""Your notes become your task list automatically""","AI task-extraction angle (FUTURE). Vision / ""coming soon"" section on landing; a strong narrative for a roadmap-revealing blog post",FUTURE,1,5,5,5,4,5,2,"Unbuilt. Scores high under AI era — strong candidate to build toward",27
25,Integration stories,"""Capture it in your voice, record it in your voice""","Voice capture angle. Podcast-pitch tagline; mobile-widget subtext",NEXT,3,4,3,4,3,4,3,"Voice transcription in development",24
26,What-if / Coming Soon,"""Your second brain, on your wrist""","Apple Watch capture angle (FUTURE). Viral tweet candidate; hardware-showcase post. Unbuilt but strong AI-era score",FUTURE,1,3,4,4,3,4,2,"Unbuilt. Pair with AI task extraction for full story",21
27,What-if / Coming Soon,"""Local-first. Encrypted. Synced only if you want it.""","Privacy-first angle (FUTURE). Hacker News / Privacy-community audience. Contrarian vs cloud-first competitors",FUTURE,1,3,5,3,3,4,1,"Unbuilt. Differentiation-heavy; appeals to niche but vocal audience",20
28,What-if / Coming Soon,"""Your meeting happens. Your notes exist.""","Fully-automated capture angle (FUTURE). Ambitious hero / keynote tagline. Requires calendar + audio + AI summarization stack",FUTURE,1,5,5,5,4,5,1,"Unbuilt. Pair with task-extraction angle for a full ""your brain, automated"" vision section",26
